# x0,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,q3,q4,q5,q6,q7,q8,q9
1.000000000000000000e+00,1.000000000000000000e+00,6.115702479338842590e-01,2.933333333333333348e-01,1.204819277108433867e-01,1.763803680981594901e-01,8.139534883720930813e-02,1.527777777777777901e-01,3.617511520737327069e-01,1.924040871409293629e+01,2.534883720930233508e+00,2.471910112359550493e-01,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.537190082644627420e-01,2.066666666666666652e-01,1.867469879518072473e-01,7.515337423312883069e-02,5.149501661129568530e-02,6.944444444444444753e-02,3.479262672811059831e-01,1.913630229419704065e+01,2.604651162790698304e+00,4.606741573033707460e-01,1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.785123966942148366e-01,1.999999999999999833e-01,2.951807228915662717e-01,7.208588957055214741e-02,5.980066445182725260e-02,5.902777777777777624e-02,2.419354838709677491e-01,1.911702332754965283e+01,2.527131782945736926e+00,3.820224719101124045e-01,1.240000000000000036e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,4.049586776859503967e-01,2.200000000000000011e-01,1.867469879518072473e-01,1.840490797546012053e-02,2.657807308970099730e-02,1.354166666666666574e-01,3.456221198156682051e-01,1.903084634663582975e+01,2.581395348837210335e+00,3.314606741573033477e-01,1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.785123966942148366e-01,1.999999999999999833e-01,1.686746987951807386e-01,3.374233128834355777e-02,6.976744186046512919e-02,7.291666666666667129e-02,4.078341013824884898e-01,1.911818006554849703e+01,2.480620155038760544e+00,3.202247191011235450e-01,1.140000000000000036e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.041322314049585529e-01,2.066666666666666652e-01,3.493975903614457978e-01,7.668711656441717928e-02,6.478405315614618742e-02,1.250000000000000000e-01,2.626728110599078070e-01,1.910352805089648243e+01,2.558139534883721478e+00,3.370786516853932491e-01,1.230000000000000071e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,5.537190082644627420e-01,2.733333333333333171e-01,2.590361445783132543e-01,4.294478527607361457e-02,1.262458471760797285e-01,7.638888888888889506e-02,1.244239631336405555e-01,1.919645267013689249e+01,2.651162790697675131e+00,6.516853932584268927e-01,1.059999999999999964e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,4.876033057851239527e-01,1.666666666666666574e-01,1.445783132530120418e-01,1.134969325153374203e-01,7.308970099667773390e-02,7.291666666666667129e-02,2.603686635944700289e-01,1.917524580682476198e+01,2.620155038759690580e+00,3.258426966292134463e-01,1.050000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,8.595041322314048715e-01,2.200000000000000011e-01,3.795180722891566272e-01,4.294478527607361457e-02,1.395348837209302584e-01,1.736111111111111188e-02,5.069124423963133896e-02,1.927511085405823366e+01,2.527131782945736926e+00,4.157303370786517016e-01,1.119999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.619834710743800699e-01,1.600000000000000033e-01,1.746987951807228989e-01,1.457055214723926295e-01,6.976744186046512919e-02,1.944444444444444475e-01,3.617511520737327069e-01,1.919915172546752302e+01,2.410852713178295303e+00,2.865168539325842478e-01,1.009999999999999964e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
