# x0,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,q3,q4,q5,q6,q7,q8,q9
1.000000000000000000e+00,0.000000000000000000e+00,5.867768595041321644e-01,3.933333333333333126e-01,1.204819277108433798e-02,3.527607361963189941e-02,1.362126245847175843e-01,8.333333333333332871e-02,2.165898617511520796e-01,1.922961249277039641e+01,2.751937984496124923e+00,2.977528089887640506e-01,9.699999999999999289e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,4.297520661157024358e-01,1.666666666666666574e-01,1.385542168674698815e-01,2.147239263803680728e-02,7.807308970099667567e-02,6.944444444444444753e-02,1.774193548387096864e-01,1.908636977058030482e+01,2.573643410852713753e+00,3.483146067415730518e-01,1.140000000000000036e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.702479338842975087e-01,2.600000000000000089e-01,2.409638554216867734e-01,7.055214723926379883e-02,3.654485049833886695e-02,1.736111111111111188e-02,4.377880184331797014e-02,1.911509543088491725e+01,2.565891472868218059e+00,2.078651685393258508e-01,1.259999999999999964e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.785123966942148366e-01,9.999999999999999167e-02,1.686746987951807386e-01,2.254601226993864782e-01,8.471760797342192673e-02,1.006944444444444475e-01,3.433179723502304270e-01,1.923886639676114640e+01,2.294573643410853236e+00,2.191011235955056258e-01,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,8.595041322314048715e-01,2.933333333333333348e-01,4.397590361445783413e-01,1.004601226993864921e-01,1.229235880398671377e-01,1.319444444444444475e-01,1.751152073732718806e-01,1.925968768074032411e+01,2.457364341085272130e+00,4.775280898876404501e-01,1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.537190082644627420e-01,2.733333333333333171e-01,1.445783132530120418e-01,8.282208588957055972e-02,5.813953488372093636e-02,1.145833333333333287e-01,2.649769585253456405e-01,1.908810487757857288e+01,2.418604651162791441e+00,2.471910112359550493e-01,1.289333333000000081e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.619834710743800699e-01,1.800000000000000211e-01,1.325301204819277212e-01,1.242331288343558188e-01,5.647840531561462707e-02,1.909722222222222099e-01,4.677419354838709409e-01,1.920377867746289979e+01,2.472868217054264406e+00,2.921348314606741492e-01,8.900000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,6.611570247933883371e-01,2.999999999999999889e-01,1.686746987951807386e-01,1.656441717791411194e-01,8.471760797342192673e-02,8.680555555555555247e-02,3.617511520737327069e-01,1.919606709080394324e+01,2.372093023255814614e+00,2.640449438202246979e-01,1.140000000000000036e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,5.702479338842975087e-01,4.033333333333333215e-01,7.228915662650602092e-02,1.641104294478527292e-01,1.212624584717608006e-01,1.388888888888888951e-01,1.912442396313364101e-01,1.926547137073453797e+01,2.674418604651163989e+00,2.921348314606741492e-01,9.400000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,8.677685950413221994e-01,1.600000000000000033e-01,2.831325301204819511e-01,3.220858895705521613e-02,1.096345514950166217e-01,2.083333333333333218e-02,5.529953917050691586e-02,1.923655292076345802e+01,2.441860465116279855e+00,5.056179775280899014e-01,1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,5.702479338842975087e-01,3.600000000000000422e-01,1.807228915662650592e-01,3.374233128834355777e-02,1.461794019933554956e-01,3.125000000000000000e-02,2.419354838709677491e-01,1.922594948910739276e+01,2.519379844961241233e+00,6.629213483146066954e-01,1.050000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,5.619834710743800699e-01,4.533333333333333659e-01,1.265060240963855331e-01,3.220858895705521613e-02,1.162790697674418727e-01,3.125000000000000000e-02,5.299539170506912394e-02,1.919144013880857003e+01,2.620155038759690580e+00,3.370786516853932491e-01,1.030000000000000071e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,5.289256198347107585e-01,4.266666666666666941e-01,1.265060240963855331e-01,2.760736196319018426e-02,1.345514950166113166e-01,4.861111111111111188e-02,7.142857142857142461e-02,1.921900906111433471e+01,2.782945736434109474e+00,3.707865168539326017e-01,9.800000000000000711e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.454545454545454142e-01,1.933333333333333293e-01,2.349397590361445853e-01,1.035276073619631892e-01,5.149501661129568530e-02,7.638888888888889506e-02,2.258064516129032195e-01,1.911123963755543542e+01,2.441860465116279855e+00,4.494382022471910543e-01,1.290000000000000036e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,6.198347107438015868e-01,2.033333333333333381e-01,2.409638554216867734e-01,2.898773006134969243e-01,9.800664451827242885e-02,1.527777777777777901e-01,3.917050691244239879e-01,1.927896664738771193e+01,2.317829457364342094e+00,2.584269662921348520e-01,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.785123966942148366e-01,1.066666666666666735e-01,2.168674698795180766e-01,3.987730061349693128e-02,4.817275747508305977e-02,9.722222222222222376e-02,2.258064516129032195e-01,1.911046847888954403e+01,2.410852713178295303e+00,2.078651685393258508e-01,1.119999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.867768595041321644e-01,1.333333333333333315e-01,2.048192771084337560e-01,2.453987730061349681e-01,8.305647840531561743e-02,1.770833333333333426e-01,3.824884792626728203e-01,1.925004819741662843e+01,2.488372093023256681e+00,3.370786516853932491e-01,9.199999999999999289e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,5.537190082644627420e-01,6.933333333333333570e-01,4.819277108433735191e-02,3.527607361963189941e-02,1.112956810631229310e-01,6.597222222222222376e-02,7.373271889400921653e-02,1.921110468478890709e+01,2.728682170542636509e+00,3.202247191011235450e-01,1.100000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,4.793388429752065139e-01,1.333333333333333315e-01,2.048192771084337560e-01,1.533742331288343551e-02,5.813953488372093636e-02,1.388888888888888951e-01,1.981566820276497720e-01,1.908482745324851493e+01,2.713178294573644234e+00,2.359550561797752743e-01,1.169999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,7.851239669421486989e-01,3.066666666666666985e-01,1.445783132530120418e-01,4.141104294478527986e-02,1.528239202657807327e-01,4.861111111111111188e-02,1.013824884792626779e-01,1.924040871409293629e+01,2.418604651162791441e+00,4.157303370786517016e-01,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,7.107438016528924152e-01,3.233333333333333059e-01,1.746987951807228989e-01,6.288343558282208368e-02,4.318936877076411801e-02,6.597222222222222376e-02,2.327188940092165814e-01,1.912087912087913111e+01,2.333333333333333925e+00,2.134831460674157244e-01,1.240000000000000036e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.619834710743800699e-01,1.533333333333333492e-01,2.349397590361445853e-01,2.469325153374233306e-01,8.803986710963454532e-02,2.465277777777777901e-01,4.470046082949308830e-01,1.925583188741084584e+01,2.465116279069768268e+00,3.595505617977527990e-01,1.019999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.964115134273630936e-01,2.733333333333333171e-01,8.433734939759036930e-02,1.595092024539877251e-01,6.146179401993356883e-02,6.250000000000000000e-02,2.741935483870967527e-01,1.920185078079816066e+01,2.620155038759690580e+00,2.528089887640449507e-01,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,6.115702479338842590e-01,1.333333333333333315e-01,2.108433734939758886e-01,3.220858895705521613e-02,6.312292358803986425e-02,1.041666666666666713e-01,2.672811059907834186e-01,1.918064391748603370e+01,2.705426356589148096e+00,4.325842696629213502e-01,1.030000000000000071e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,4.545454545454544748e-01,1.600000000000000033e-01,2.710843373493976305e-01,2.607361963190183915e-02,7.641196013289036637e-02,7.638888888888889506e-02,2.603686635944700289e-01,1.912936186620398260e+01,2.496124031007752819e+00,2.696629213483145993e-01,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,5.537190082644627420e-01,5.066666666666667096e-01,1.204819277108433798e-02,2.760736196319018426e-02,1.295681063122923748e-01,2.083333333333333218e-02,2.764976958525345793e-02,1.920185078079816066e+01,2.751937984496124923e+00,3.539325842696628976e-01,9.949999999999999289e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.454545454545454142e-01,1.399999999999999856e-01,2.048192771084337560e-01,8.588957055214722913e-02,7.641196013289036637e-02,1.041666666666666713e-01,3.225806451612903136e-01,1.914382109118952258e+01,2.496124031007752819e+00,2.134831460674157244e-01,1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.537190082644627420e-01,1.600000000000000033e-01,2.228915662650602370e-01,1.733128834355828207e-01,7.142857142857142461e-02,2.222222222222222099e-01,3.986175115207373221e-01,1.920802005012532376e+01,2.387596899224806890e+00,2.977528089887640506e-01,9.900000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,8.512396694214875437e-01,2.933333333333333348e-01,3.012048192771084598e-01,6.901840490797545025e-02,1.777408637873754138e-01,1.736111111111111188e-02,2.995391705069124291e-02,1.924040871409293629e+01,2.542635658914729202e+00,4.662921348314606473e-01,1.150000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
