# x0,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,q3,q4,q5,q6,q7,q8,q9
1.000000000000000000e+00,0.000000000000000000e+00,5.289256198347107585e-01,3.799999999999999489e-01,1.204819277108433798e-02,2.760736196319018426e-02,1.112956810631229310e-01,1.388888888888888812e-02,2.534562211981566948e-02,1.922112974744554847e+01,2.682170542635659682e+00,3.820224719101124045e-01,9.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.289256198347107585e-01,1.199999999999999956e-01,2.891566265060240837e-01,6.134969325153374203e-02,3.089700996677741673e-01,2.222222222222222099e-01,3.456221198156682051e-01,1.917293233082708070e+01,2.372093023255814614e+00,2.247191011235955271e-01,9.300000000000000711e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,6.776859504132229928e-01,1.800000000000000211e-01,2.590361445783132543e-01,2.453987730061349751e-02,5.813953488372093636e-02,1.076388888888888951e-01,2.949308755760368661e-01,1.911702332754965283e+01,2.403100775193799166e+00,2.808988764044944020e-01,1.230000000000000071e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,5.537190082644627420e-01,3.600000000000000422e-01,7.831325301204819511e-02,3.067484662576687102e-02,1.262458471760797285e-01,5.208333333333333565e-02,8.294930875576037033e-02,1.922691343743976233e+01,2.798449612403101749e+00,3.595505617977527990e-01,9.800000000000000711e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.454545454545454142e-01,1.266666666666666774e-01,1.686746987951807386e-01,1.809815950920245498e-01,6.976744186046512919e-02,1.875000000000000000e-01,3.156682027649769795e-01,1.918102949681898295e+01,2.465116279069768268e+00,2.078651685393258508e-01,1.080000000000000071e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,6.694214876033056649e-01,2.866666666666666807e-01,2.530120481927710663e-01,1.012269938650306594e-01,5.481727574750831083e-02,1.250000000000000000e-01,3.248847926267280917e-01,1.912087912087913111e+01,2.310077519379845512e+00,2.191011235955056258e-01,1.330000000000000071e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.206611570247933196e-01,2.266666666666666829e-01,1.626506024096385783e-01,3.834355828220858964e-02,3.986710963455149942e-02,1.388888888888888951e-01,3.502304147465437612e-01,1.910449199922885199e+01,2.596899224806202611e+00,3.370786516853932491e-01,1.190000000000000036e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,6.115702479338842590e-01,1.199999999999999956e-01,2.409638554216867734e-01,2.453987730061349751e-02,7.807308970099667567e-02,7.638888888888889506e-02,2.350230414746543872e-01,1.915750915750916761e+01,2.542635658914729202e+00,2.471910112359550493e-01,1.069999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.950413223140494923e-01,1.199999999999999956e-01,2.710843373493976305e-01,6.748466257668711554e-02,7.641196013289036637e-02,1.979166666666666574e-01,3.824884792626728203e-01,1.916907653749759888e+01,2.426356589147287579e+00,3.483146067415730518e-01,1.119999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,4.462809917355371470e-01,1.766666666666666663e-01,1.686746987951807386e-01,1.196319018404907869e-01,8.637873754152824990e-02,9.375000000000000000e-02,2.096774193548387177e-01,1.916946211683054813e+01,2.472868217054264406e+00,2.134831460674157244e-01,1.040000000000000036e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,6.363636363636363535e-01,3.533333333333333326e-01,3.614457831325301046e-02,2.607361963190183915e-02,1.229235880398671377e-01,3.125000000000000000e-02,8.986175115207373221e-02,1.920474262579526581e+01,2.596899224806202611e+00,2.696629213483145993e-01,9.800000000000000711e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,7.603305785123964933e-01,3.533333333333333326e-01,1.445783132530120418e-01,3.987730061349693128e-02,1.295681063122923748e-01,9.722222222222222376e-02,3.202764976958525356e-01,1.923809523809524791e+01,2.488372093023256681e+00,3.202247191011235450e-01,9.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
