# X0,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Sp1,Sp2,Sp3
1.000000000000000000e+00,7.296535932873784436e-01,2.895450767013406645e-01,5.790901534026813291e-01,2.200542582930188895e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,7.952406381013439329e-01,5.414404344519788692e-01,2.707202172259894346e-01,3.384002715324867933e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,8.084658442238581433e-01,5.221341910612418147e-01,2.694886147412861033e-01,3.368607684266076291e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,8.221058465189321485e-01,5.138161540743326761e-01,2.397808719013552192e-01,5.138161540743325928e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.157899883667152574e-01,3.443040450371541716e-01,5.798804969046807978e-01,1.812126552827127146e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,7.959478212368801264e-01,5.537028321647862183e-01,2.422449890720939636e-01,3.460642701029913865e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.618518793947620660e-01,3.401124461583759362e-01,5.305754160070664804e-01,1.496494763096854197e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.701185382512489852e-01,3.534970339513929249e-01,5.049957627877041944e-01,1.641236229060038798e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,6.959560108929094824e-01,3.427843038726270386e-01,5.920819794163557637e-01,2.181354661007626761e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,8.021849185198157706e-01,5.454857445934747640e-01,2.406554755559447423e-01,3.208739674079263277e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,8.003330078112874668e-01,5.602331054679012823e-01,2.080865820309347469e-01,4.801998046867724662e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.263484574337419897e-01,3.804682396081505713e-01,5.418790079267599147e-01,1.844694495069821027e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.148654283077015004e-01,2.599510648391641365e-01,6.220257622937143127e-01,1.856793320279744031e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,7.157654644679906086e-01,3.019635553224335189e-01,5.927432752625546586e-01,2.124928722639346790e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,8.281328733868765779e-01,5.070201265633937915e-01,2.366093923962504231e-01,3.380134177089292452e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,6.938541359029942734e-01,2.957411071061943342e-01,6.369808460748800361e-01,1.592452115187200090e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,7.354428354362763098e-01,3.545885099424904152e-01,5.515821265772072879e-01,1.707278010834213100e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.694544446831322881e-01,3.560162355996582262e-01,5.053133666575794214e-01,1.607815257546843513e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.233711847707108289e-01,3.419572873461542151e-01,5.786969478165687741e-01,1.578264403136096228e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,8.230721775566244292e-01,5.144201109728903099e-01,2.400627184540154724e-01,1.714733703242967908e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.326039145409680708e-01,3.602970071512958117e-01,5.524554109653201373e-01,1.681386033372713473e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,8.269975440259818011e-01,5.262711643801702976e-01,1.954721467697775328e-01,3.007263796458116076e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,6.902591585738451219e-01,3.509792331731415582e-01,5.966646963943406101e-01,2.105875399038849571e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,8.173378965356996595e-01,5.146201570780331025e-01,2.573100785390165512e-01,3.027177394576665431e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.136655737001574851e-01,2.835109813329392825e-01,6.159031663439714643e-01,1.759723332411347319e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,8.180311900353678389e-01,5.175299365529878459e-01,2.504177112353166978e-01,1.669451408235444675e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.646726945514761287e-01,3.148652271682548798e-01,5.397689608598654765e-01,1.574326135841274399e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.299244278720566914e-01,3.910309435028875291e-01,5.344089561206128991e-01,1.694467421845846089e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.572810334533846000e-01,3.542120962927121641e-01,5.252110393305731151e-01,1.587847328208709663e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,8.064236561517831303e-01,5.315065006454933183e-01,2.565893451392036728e-01,3.665562073417195921e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
