# X0,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Sp1,Sp2,Sp3
1.000000000000000000e+00,7.106690545187015484e-01,3.553345272593507742e-01,5.685352436149612165e-01,2.132007163556104423e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,6.905251239789963469e-01,3.214513508178086787e-01,6.071858848780830042e-01,2.262065061310505332e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,7.408857633640885121e-01,3.317398940436216970e-01,5.528998234060361616e-01,1.879859399580522950e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.538491620232947721e-01,3.152460132097414380e-01,5.482539360169416121e-01,1.781825292055060350e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.678572552779229232e-01,3.490260251263285762e-01,5.119048368519486525e-01,1.628788117256199930e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.860903755415094007e-01,5.717020913029159379e-01,2.322539745918096032e-01,3.573138070643224612e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,8.021241325140697764e-01,5.469028176232293426e-01,2.369912209700660577e-01,3.646018784154862746e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,6.891487078995804927e-01,3.394314531445695171e-01,5.862906917951655750e-01,2.571450402610375163e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,7.626299404054146525e-01,3.418685939748410396e-01,5.259516830382169328e-01,1.577855049114650909e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.581753965757455083e-01,3.265986323710903805e-01,5.365548960382199306e-01,1.749635530559412733e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.567649730125051155e-01,3.522871426092696878e-01,5.349545498881501659e-01,1.304767194849146827e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.757707459581175691e-01,6.071249316193964018e-01,1.686458143387212227e-01,3.372916286774424455e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,6.959400158179216422e-01,3.044737569203406768e-01,6.089475138406813537e-01,2.283553176902555493e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,7.414330662236144898e-01,2.942194707236565621e-01,5.766701626183668994e-01,1.765316824341939261e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.117121386170341957e-01,3.500223632542791563e-01,5.717031933153225998e-01,2.100134179525675049e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,8.068282029952023038e-01,5.378854686634680915e-01,2.406329728231304810e-01,4.246464226290538185e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.095370785652946877e-01,2.800804257494584615e-01,6.161769366488085709e-01,1.960562980246209064e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,8.064196490120080218e-01,5.427824560657745767e-01,2.326210525996176837e-01,3.101614034661569555e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.889275245573255102e-01,2.892734256710193796e-01,5.259516830382169328e-01,1.314879207595542332e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,6.776792358909037306e-01,3.271554931887121209e-01,5.958903625937256310e-01,2.804189941617532544e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,7.724292477636958143e-01,3.370600353877944988e-01,5.196342212228499680e-01,1.404416814115810597e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.308985536964403007e-01,3.045410640401834401e-01,5.887793904776880138e-01,1.624219008214311810e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,7.063189182330440463e-01,3.783851347677021915e-01,5.675777021515532317e-01,1.891925673838510957e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,6.929909911756716445e-01,3.419955540866950749e-01,6.029921611528571423e-01,1.979974260501919103e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,7.055893432004944898e-01,3.272298403248670162e-01,5.828781530786694143e-01,2.351964477334981263e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,7.246023348632822936e-01,3.762358277174735477e-01,5.434517511474616924e-01,1.950852440016529188e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.454975663530117869e-01,3.727487831765058934e-01,5.241779763419613936e-01,1.747259921139871219e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
